,step,lr,grid,k,internal_units,batch,lamb,lamb_entropy,avg_val_loss
322,80,0.01,10,2,16,32,0.01,10,0.3399869203567505
323,80,0.01,10,2,16,64,0.01,10,0.3001445233821869
324,80,0.01,10,2,12,32,0.01,100,1.0001498063405354
325,80,0.01,10,2,12,64,0.01,100,1.0001123547554016
326,80,0.01,10,2,16,32,0.01,100,0.9996985793113708
327,80,0.01,10,2,16,64,0.01,100,0.9995027581850687
328,80,0.01,10,2,12,32,0.1,10,1.0006460150082905
329,80,0.01,10,2,12,64,0.1,10,1.0004108746846516
330,80,0.01,10,2,16,32,0.1,10,1.0000030795733135
331,80,0.01,10,2,16,64,0.1,10,0.9995215932528178
332,80,0.01,10,2,12,32,0.1,100,0.9996758699417114
333,80,0.01,10,2,12,64,0.1,100,0.9998214642206827
334,80,0.01,10,2,16,32,0.1,100,1.000148097674052
335,80,0.01,10,2,16,64,0.1,100,1.0010119080543518
336,80,0.01,10,3,12,32,0.01,10,0.33183709780375165
337,80,0.01,10,3,12,64,0.01,10,0.2969830284516017
338,80,0.01,10,3,16,32,0.01,10,0.33759409189224243
339,80,0.01,10,3,16,64,0.01,10,0.3009326159954071
340,80,0.01,10,3,12,32,0.01,100,0.9996736844380697
341,80,0.01,10,3,12,64,0.01,100,0.9996537168820699
342,80,0.01,10,3,16,32,0.01,100,1.000655968983968
343,80,0.01,10,3,16,64,0.01,100,0.9984124898910522
344,80,0.01,10,3,12,32,0.1,10,1.0004348754882812
345,80,0.01,10,3,12,64,0.1,10,0.9999394416809082
346,80,0.01,10,3,16,32,0.1,10,0.9998992880185446
347,80,0.01,10,3,16,64,0.1,10,0.9993607600529989
348,80,0.01,10,3,12,32,0.1,100,1.000043471654256
349,80,0.01,10,3,12,64,0.1,100,1.0002842744191487
350,80,0.01,10,3,16,32,0.1,100,1.0004202524820964
351,80,0.01,10,3,16,64,0.1,100,0.9998105565706888
352,80,0.01,12,2,12,32,0.01,10,0.34235114852587384
353,80,0.01,12,2,12,64,0.01,10,0.2934865752855937
354,80,0.01,12,2,16,32,0.01,10,0.30320791403452557
355,80,0.01,12,2,16,64,0.01,10,0.284904678662618
356,80,0.01,12,2,12,32,0.01,100,1.0001548528671265
357,80,0.01,12,2,12,64,0.01,100,0.99949844678243
358,80,0.01,12,2,16,32,0.01,100,0.9992541869481405
359,80,0.01,12,2,16,64,0.01,100,0.9998372594515482
360,80,0.01,12,2,12,32,0.1,10,1.0008461276690166
361,80,0.01,12,2,12,64,0.1,10,0.9996212124824524
362,80,0.01,12,2,16,32,0.1,10,1.000326136747996
363,80,0.01,12,2,16,64,0.1,10,0.9996498624483744
364,80,0.01,12,2,12,32,0.1,100,1.0001848141352336
365,80,0.01,12,2,12,64,0.1,100,1.0005381107330322
366,80,0.01,12,2,16,32,0.1,100,0.9997912844022115
367,80,0.01,12,2,16,64,0.1,100,0.9998111128807068
368,80,0.01,12,3,12,32,0.01,10,0.332527756690979
369,80,0.01,12,3,12,64,0.01,10,0.29372496406237286
370,80,0.01,12,3,16,32,0.01,10,0.31191278497378033
371,80,0.01,12,3,16,64,0.01,10,0.2841978818178177
372,80,0.01,12,3,12,32,0.01,100,0.9990304509798685
373,80,0.01,12,3,12,64,0.01,100,0.999558667341868
374,80,0.01,12,3,16,32,0.01,100,0.9991981188456217
375,80,0.01,12,3,16,64,0.01,100,1.0007987817128499
376,80,0.01,12,3,12,32,0.1,10,0.9993371168772379
377,80,0.01,12,3,12,64,0.1,10,0.9996937910715739
378,80,0.01,12,3,16,32,0.1,10,1.0002543330192566
379,80,0.01,12,3,16,64,0.1,10,0.9997284412384033
380,80,0.01,12,3,12,32,0.1,100,0.9998840490976969
381,80,0.01,12,3,12,64,0.1,100,1.000435729821523
382,80,0.01,12,3,16,32,0.1,100,1.0000962615013123
383,80,0.01,12,3,16,64,0.1,100,1.0003188053766887
384,80,0.001,8,2,12,32,0.01,10,0.8232146700223287
385,80,0.001,8,2,12,64,0.01,10,0.7996457616488138
386,80,0.001,8,2,16,32,0.01,10,0.8346186876296997
387,80,0.001,8,2,16,64,0.01,10,0.8105792204538981
